BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,Classe,Dominio
0.035500000000000004,0.031900000000000005,0.061200000000000004,0.031100000000000003,0.0983,0.0599,0.062200000000000005,0.0494,0.0349,0.0616,0.024800000000000003,0.0198,1,ANA
0.015300000000000001,0.0119,0.0275,0.0246,0.028,0.009000000000000001,0.0099,0.0083,0.006,0.028900000000000002,0.0228,0.0223,0,ANA
0.0099,0.0161,0.0179,0.014,0.0164,0.0094,0.013300000000000001,0.0111,0.0115,0.027800000000000002,0.0167,0.0128,0,ANA
0.0437,0.0437,0.055900000000000005,0.047400000000000005,0.0522,0.0357,0.0368,0.033800000000000004,0.0351,0.0591,0.049300000000000004,0.0408,0,ANA
0.043500000000000004,0.0182,0.021,0.018600000000000002,0.0246,0.0342,0.0427,0.021400000000000002,0.05,0.10110000000000001,0.0396,0.0339,0,ANA
0.4258,0.45880000000000004,0.4591,0.4232,0.49670000000000003,0.5545,0.5716,0.5746,0.5655,1.5343,0.4491,0.3517,0,ANA
0.0405,0.039,0.0339,0.025500000000000002,0.0379,0.058300000000000005,0.0675,0.06280000000000001,0.07100000000000001,0.083,0.0397,0.028900000000000002,0,ANA
0.07780000000000001,0.0761,0.0585,0.0565,0.08460000000000001,0.1328,0.1476,0.10880000000000001,0.163,0.2346,0.16340000000000002,0.13140000000000002,0,ANA
0.020200000000000003,0.0175,0.0264,0.0196,0.038,0.07250000000000001,0.0857,0.0787,0.0917,0.11610000000000001,0.0703,0.0349,0,ANA
0.014400000000000001,0.0142,0.014,0.0068000000000000005,0.0061,0.0064,0.0082,0.009300000000000001,0.0086,0.0429,0.016900000000000002,0.0106,0,ANA
0.0279,0.0274,0.027200000000000002,0.014700000000000001,0.0128,0.0092,0.0142,0.012,0.012,0.047400000000000005,0.0158,0.0109,0,ANA
0.1933,0.2029,0.24580000000000002,0.2487,0.28340000000000004,0.2655,0.2645,0.2712,0.26030000000000003,0.2894,0.3476,0.2349,1,ANA
0.0146,0.0217,0.035,0.0247,0.0531,0.1168,0.14400000000000002,0.1428,0.1454,0.1373,0.0922,0.050300000000000004,0,ANA
0.0388,0.0516,0.0431,0.0392,0.0448,0.043500000000000004,0.050100000000000006,0.068,0.0591,0.095,0.0884,0.07200000000000001,0,ANA
0.054200000000000005,0.07400000000000001,0.08,0.0522,0.0819,0.051800000000000006,0.0621,0.049100000000000005,0.061700000000000005,0.1131,0.0497,0.0555,0,ANA
0.025400000000000002,0.028800000000000003,0.0402,0.032100000000000004,0.0385,0.0227,0.0234,0.0206,0.0207,0.0178,0.0221,0.021,0,ANA
0.011600000000000001,0.0155,0.0184,0.0118,0.0123,0.0094,0.009600000000000001,0.008700000000000001,0.0089,0.013800000000000002,0.010400000000000001,0.0098,0,ANA
0.1641,0.1622,0.1772,0.1593,0.1904,0.23140000000000002,0.2472,0.2068,0.2555,0.3405,0.221,0.16770000000000002,0,ANA
0.0425,0.034,0.0347,0.0204,0.018500000000000003,0.0131,0.013800000000000002,0.0128,0.013800000000000002,0.032100000000000004,0.0173,0.0131,0,ANA
0.027100000000000003,0.029900000000000003,0.0383,0.0229,0.0459,0.1056,0.1269,0.1236,0.13290000000000002,0.1193,0.075,0.0403,0,ANA
0.0256,0.016800000000000002,0.024,0.021400000000000002,0.0269,0.0262,0.0284,0.025,0.031400000000000004,0.1875,0.031900000000000005,0.0227,0,ANA
0.046900000000000004,0.039400000000000004,0.051000000000000004,0.0397,0.042100000000000005,0.042800000000000005,0.0468,0.040400000000000005,0.0489,0.0507,0.0415,0.035500000000000004,0,ANA
0.6065,0.5969,0.5808,0.5741,0.6093000000000001,0.5831000000000001,0.5815,0.5663,0.5824,0.7974,0.6061000000000001,0.5441,1,ANA
0.028800000000000003,0.0216,0.0279,0.026600000000000002,0.0268,0.013000000000000001,0.0129,0.017400000000000002,0.0151,0.092,0.0318,0.027600000000000003,0,ANA
0.0614,0.041600000000000005,0.053200000000000004,0.037700000000000004,0.0528,0.0776,0.0878,0.092,0.0893,0.1494,0.0695,0.047900000000000005,0,ANA
0.0994,0.0844,0.10020000000000001,0.1115,0.13490000000000002,0.1502,0.1636,0.1395,0.1764,0.31820000000000004,0.1836,0.14830000000000002,0,ANA
0.0223,0.0151,0.0239,0.021,0.0258,0.018600000000000002,0.023100000000000002,0.0199,0.024900000000000002,0.0659,0.0522,0.0334,0,ANA
0.0297,0.0268,0.0426,0.0275,0.0606,0.024,0.023200000000000002,0.0167,0.010700000000000001,0.0043,0.007500000000000001,0.006,1,ANA
0.1273,0.0873,0.0864,0.0723,0.08940000000000001,0.0852,0.0947,0.0723,0.09190000000000001,0.16060000000000002,0.0789,0.06620000000000001,0,ANA
0.0878,0.0466,0.0575,0.0475,0.07,0.08310000000000001,0.09390000000000001,0.0835,0.09570000000000001,0.2778,0.09040000000000001,0.057,0,ANA
0.051300000000000005,0.0526,0.0903,0.043300000000000005,0.0999,0.07010000000000001,0.0731,0.0596,0.046200000000000005,0.0362,0.015700000000000002,0.0123,1,ANA
0.06430000000000001,0.0813,0.1033,0.0921,0.09920000000000001,0.0964,0.09050000000000001,0.09920000000000001,0.0781,0.0956,0.0689,0.0523,0,ANA
0.0489,0.07740000000000001,0.0975,0.1085,0.13870000000000002,0.1608,0.1751,0.17930000000000001,0.1857,0.1428,0.2439,0.20850000000000002,0,ANA
0.0221,0.0287,0.0415,0.035500000000000004,0.040600000000000004,0.019,0.020900000000000002,0.019700000000000002,0.015600000000000001,0.027600000000000003,0.020200000000000003,0.0182,1,ANA
0.042300000000000004,0.0668,0.101,0.11810000000000001,0.1484,0.16840000000000002,0.1817,0.1789,0.19740000000000002,0.1855,0.25420000000000004,0.2081,0,ANA
0.42100000000000004,0.5399,0.49670000000000003,0.45270000000000005,0.4781,0.43570000000000003,0.41090000000000004,0.5068,0.3952,0.6951,0.48150000000000004,0.41300000000000003,0,ANA
0.0211,0.017400000000000002,0.0162,0.013600000000000001,0.014100000000000001,0.0131,0.013600000000000001,0.0122,0.0135,0.0063,0.0143,0.011000000000000001,0,ANA
0.0211,0.017400000000000002,0.0162,0.013600000000000001,0.014100000000000001,0.0131,0.013600000000000001,0.0122,0.0135,0.0063,0.0143,0.011000000000000001,0,ANA
0.0211,0.017400000000000002,0.0162,0.013600000000000001,0.014100000000000001,0.0131,0.013600000000000001,0.0122,0.0135,0.0063,0.0143,0.011000000000000001,0,ANA
0.057800000000000004,0.0347,0.0429,0.033,0.0458,0.0599,0.0685,0.0589,0.0699,0.2049,0.061500000000000006,0.0364,0,ANA
0.0443,0.040400000000000005,0.0482,0.0409,0.0529,0.0613,0.0707,0.0614,0.0736,0.1237,0.07300000000000001,0.0587,0,ANA
0.14780000000000001,0.16820000000000002,0.1675,0.1526,0.1617,0.1414,0.1437,0.14120000000000002,0.1375,0.1053,0.13490000000000002,0.1223,0,ANA
0.1358,0.1796,0.1894,0.1899,0.2079,0.2119,0.21350000000000002,0.25020000000000003,0.21200000000000002,0.24130000000000001,0.28500000000000003,0.2205,0,ANA
0.1656,0.2469,0.24580000000000002,0.2368,0.2706,0.2886,0.29650000000000004,0.3326,0.2949,0.23170000000000002,0.31070000000000003,0.2616,1,ANA
0.2285,0.226,0.2386,0.23040000000000002,0.2697,0.23920000000000002,0.2368,0.20800000000000002,0.2247,0.2285,0.2159,0.1988,1,ANA
0.41950000000000004,0.48450000000000004,0.447,0.403,0.4431,0.451,0.4495,0.49260000000000004,0.45480000000000004,0.6548,0.45990000000000003,0.3952,1,ANA
0.35810000000000003,0.2977,0.31320000000000003,0.3178,0.3655,0.3971,0.4011,0.3705,0.4056,0.6559,0.3894,0.3286,0,ANA
0.046200000000000005,0.0409,0.0437,0.042,0.0502,0.06520000000000001,0.0708,0.0674,0.07590000000000001,0.0523,0.0796,0.0521,1,ANA
0.0488,0.0732,0.0869,0.096,0.1143,0.1267,0.1423,0.1448,0.15860000000000002,0.1449,0.1768,0.1424,0,ANA
0.044700000000000004,0.0292,0.0393,0.0458,0.0599,0.0722,0.07350000000000001,0.060500000000000005,0.0917,0.1356,0.0981,0.0806,0,ANA
0.0468,0.0459,0.051300000000000005,0.0369,0.038400000000000004,0.033600000000000005,0.0369,0.0354,0.0368,0.0698,0.0374,0.0269,0,ANA
0.0392,0.042100000000000005,0.0592,0.048600000000000004,0.0449,0.0257,0.027700000000000002,0.027200000000000002,0.036500000000000005,0.12440000000000001,0.0632,0.0436,0,ANA
0.1804,0.2056,0.2019,0.19360000000000002,0.198,0.1778,0.1786,0.18030000000000002,0.1734,0.2325,0.1864,0.1506,0,ANA
0.0332,0.0358,0.0488,0.0323,0.025900000000000003,0.011000000000000001,0.0129,0.011000000000000001,0.009600000000000001,0.0165,0.0205,0.0195,0,ANA
0.0324,0.0313,0.051500000000000004,0.0216,0.020300000000000002,0.0164,0.0182,0.0137,0.016,0.024,0.0106,0.009600000000000001,0,ANA
0.039,0.0575,0.09720000000000001,0.10940000000000001,0.1189,0.10700000000000001,0.10980000000000001,0.1022,0.10930000000000001,0.0463,0.1283,0.10020000000000001,0,ANA
0.0367,0.062,0.10250000000000001,0.12150000000000001,0.1348,0.1178,0.1257,0.1126,0.12340000000000001,0.0631,0.13870000000000002,0.1063,0,ANA
0.048600000000000004,0.0439,0.0589,0.049100000000000005,0.0511,0.032100000000000004,0.0361,0.031400000000000004,0.028300000000000002,0.013300000000000001,0.0252,0.0204,1,ANA
0.0297,0.0262,0.04,0.034,0.0412,0.0234,0.024800000000000003,0.0207,0.023200000000000002,0.0618,0.023700000000000002,0.015700000000000002,0,ANA
0.0465,0.063,0.0712,0.0733,0.076,0.0816,0.08420000000000001,0.08030000000000001,0.08220000000000001,0.0635,0.08460000000000001,0.0818,0,ANA
0.0367,0.055200000000000006,0.0663,0.06910000000000001,0.07590000000000001,0.0751,0.07250000000000001,0.07150000000000001,0.07540000000000001,0.0316,0.0872,0.081,0,ANA
0.0323,0.0253,0.0228,0.0222,0.024800000000000003,0.023,0.028300000000000002,0.0274,0.0297,0.0429,0.0589,0.0454,0,ANA
0.0918,0.1272,0.17370000000000002,0.1904,0.22640000000000002,0.2122,0.2268,0.2102,0.2248,0.29600000000000004,0.2442,0.21530000000000002,0,ANA
